Year,Country,Air Pollutant,Population,Populated Area [km2],Air Pollution Average [ug/m3],Premature Deaths,Years Of Life Lost
2019,Italy,PM2.5,59816350,169658,12.0,42658.0,425504.0
2018,Lithuania,NO2,2808874,35587,5.3,249.0,2812.0
2018,Lithuania,O3,2808874,35587,3515.7,137.0,1549.0
2018,Lithuania,PM10,2808874,35587,15.8,,
2018,Lithuania,PM2.5,2808874,35587,10.5,2110.0,23593.0
2019,Lithuania,NO2,2794155,35587,4.8,171.0,2012.0
2019,Lithuania,O3,2794155,35587,3622.6,136.0,1617.0
2019,Lithuania,PM10,2794155,35587,14.4,,
2019,Lithuania,PM2.5,2794155,35587,9.1,1880.0,21721.0
2018,Luxembourg,NO2,602001,1658,12.2ug/m,81.0,934.0
2018,Luxembourg,O3,602001,1658,5708.7,22.0,267.0
2018,Luxembourg,PM10,602001,1658,15.0,,
2018,Luxembourg,PM2.5,602001,1658,9.2,150.0,1747.0
2019,Luxembourg,NO2,613891,1658,11.1,67.0,769.0
2019,Luxembourg,O3,613891,1658,4368.4,18.0,221.0
2019,Luxembourg,PM10,613891,1658,12.8,,
2019,Luxembourg,PM2.5,613891,1658,7.5,93.0,1084.0
2018,Latvia,NO2,1934362,32912,3.6,200.0,2309.0
2018,Latvia,O3,1934362,32912,3243.3,89.0,1032.0
2018,Latvia,PM10,1934362,32912,13.3,,
2018,Latvia,PM2.5,1934362,32912,8.6,1436.0,16362.0
2019,Latvia,NO2,1919953,32912 km,3.4,130.0,1486.0
2019,Latvia,O3,1919953,32912,3197.8,77.0,925.0
2019,Latvia,PM10,1919953,32912,11.9,,
2019,Latvia,PM2.5,1919953,32912,7.0,1001.0,11414.0
2018,malta,NO2,475697,264,5.5,13.0,152.0
2018,Malta,O3,475697,264,7054.4,23.0,278.0
2018,Malta,PM10,475697,264,26.4,,
2018,Malta,PM2.5,475697,264,11.5,196.0,2374.0
2019,Malta,NO2,493556,264,6.9,16.0,190.0
2019,Malta,O3,493556,264,7374.2,25.0,294.0
2019,Malta,PM10,493556,264,24.9,,
2019 year,Malta,PM2.5,493556,264,11.7,188.0,2299.0
2018,Netherlands,NO2,17180968,30299,14.1,2929.0,31231.0
2018,Netherlands,O3,17180968,30299,3814.5,605.0,6837.0
2018,Netherlands,PM10,17180968,30299,18.6,,
2018,Netherlands,PM2.5,17180968,30299,11.7,7554.0,80451.0
2019,Netherlands,NO2,17282047,30299,13.2,2531.0,27531.0
2019,Netherlands,O3,17282047,30299,3555.4,548.0,6350.0
2019,Netherlands,PM10,17282047,30299,17.0,,
2019,Netherlands,PM2.5,17282047,30299,10.4,6064.0,65862.0
2018,Poland,NO2,37976476,196199,8.9,4591.0,57361.0
2018,Poland,O3,37976476,196199,5495.7ug/m,2343.0,30524.0
